Symbol,Name,Category
AARON,Aaron Industries Limited,Other
AARTIDRUGS,Aarti Drugs Limited,Other
AARTIPHARM,Aarti Pharmalabs Limited,Other
AARTISURF,Aarti Surfactants Limited,Other
AARVI,Aarvi Encon Limited,Other
AASTHA,Aastha Spintex Limited,Other
ABCOTS,A B Cotspin India Limited,Other
ABINFRA,A B Infrabuild Limited,Other
ABMINTLLTD,ABM International Limited,Other
ABMKNO,ABM Knowledgeware Limited,Other
ACCELYA,Accelya Solutions India Limited,Other
ACEINTEG,Ace Integrated Solutions Limited,Other
ACI,Archean Chemical Industries Limited,Other
ACL,Andhra Cements Limited,Other
ACSTECH,ACS Technologies Limited,Other
ADFFOODS,ADF Foods Limited,Other
ADL,Archidply Decor Limited,Other
ADOR,Ador Welding Limited,Other
ADROITINFO,Adroit Infotech Limited,Other
ADSL,Allied Digital Services Limited,Other
ADVAIT,Advait Energy Transitions Limited,Other
ADVANCE,Advance Agrolife Limited,Other
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Other
ADVENTHTL,Advent Hotels International Limited,Other
ADVENZYMES,Advanced Enzyme Technologies Limited,Other
AEPL,Artemis Electricals and Projects Limited,Other
AEQUS,Aequs Limited,Other
AEROENTER,Aeroflex Enterprises Limited,Other
AEROFLEX,Aeroflex Industries Limited,Other
AERONEU,Aeroflex Neu Limited,Other
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,Other
AETHER,Aether Industries Limited,Other
AFIL,Akme Fintrade (India) Limited,Other
AFSL,Abans Financial Services Limited,Other
AGARIND,Agarwal Industrial Corporation Limited,Other
AGARWALEYE,Dr. Agarwal's Health Care Limited,Other
AGI,AGI Greenpac Limited,Other
AGIIL,Agi Infra Limited,Other
AGL,Allcargo Global Limited,Other
AGROPHOS,Agro Phos India Limited,Other
AHCL,Anlon Healthcare Limited,Other
AHLADA,Ahlada Engineers Limited,Other
AHLEAST,Asian Hotels (East) Limited,Other
AHLUCONT,Ahluwalia Contracts (India) Limited,Other
AIRAN,Airan Limited,Other
AIROLAM,Airo Lam limited,Other
AJAXENGG,Ajax Engineering Limited,Other
AJMERA,Ajmera Realty & Infra India Limited,Other
AJOONI,Ajooni Biotech Limited,Other
AKASH,Akash Infra-Projects Limited,Other
AKCAPIT,AK Capital Services Limited,Other
AKG,Akg Exim Limited,Other
AKI,AKI India Limited,Other
AKSHAR,Akshar Spintex Limited,Other
AKUMS,Akums Drugs and Pharmaceuticals Limited,Other
ALANKIT,Alankit Limited,Other
ALBERTDAVD,Albert David Limited,Other
ALEMBICLTD,Alembic Limited,Other
ALGOQUANT,Algoquant Fintech Limited,Other
ALICON,Alicon Castalloy Limited,Other
ALIVUS,Alivus Life Sciences Limited,Other
ALKYLAMINE,Alkyl Amines Chemicals Limited,Other
ALLCARGO,Allcargo Logistics Limited,Other
ALLDIGI,Alldigi Tech Limited,Other
ALLTIME,All Time Plastics Limited,Other
ALMONDZ,Almondz Global Securities Limited,Other
ALOKINDS,Alok Industries Limited,Other
ALPA,Alpa Laboratories Limited,Other
ALPHAGEO,Alphageo (India) Limited,Other
ALPINETEX,Alpine Texworld Limited,Other
AMAGI,Amagi Media Labs Limited,Other
AMBALALSA,Ambalal Sarabhai Enterprises Limited,Other
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Other
AMBIKCO,Ambika Cotton Mills Limited,Other
AMDIND,AMD Industries Limited,Other
AMJLAND,Amj Land Holdings Limited,Other
AMNPLST,Amines & Plasticizers Limited,Other
AMRUTANJAN,Amrutanjan Health Care Limited,Other
ANDHRAPAP,ANDHRA PAPER LIMITED,Other
ANDHRSUGAR,The Andhra Sugars Limited,Other
ANIKINDS,Anik Industries Limited,Other
ANMOL,Anmol India Limited,Other
ANTELOPUS,Antelopus Selan Energy Limited,Other
ANTGRAPHIC,Antarctica Limited,Other
ANUHPHR,Anuh Pharma Limited,Other
ANUP,The Anup Engineering Limited,Other
APCL,Anjani Portland Cement Limited,Other
APCOTEXIND,Apcotex Industries Limited,Other
APEX,Apex Frozen Foods Limited,Other
APLLTD,Alembic Pharmaceuticals Limited,Other
APOLLO,Apollo Micro Systems Limited,Other
APOLLOPIPE,Apollo Pipes Limited,Other
APOLSINHOT,Apollo Sindoori Hotels Limited,Other
AQYLON,Aqylon Nexus Limited,Other
ARCHIDPLY,Archidply Industries Limited,Other
ARCHIES,Archies Limited,Other
ARENTERP,Rajdarshan Industries Limited,Other
ARFIN,Arfin India Limited,Other
ARIES,Aries Agro Limited,Other
ARIHANT,Arihant Foundations & Housing Limited,Other
ARIHANTCAP,Arihant Capital Markets Limited,Other
ARIHANTSUP,Arihant Superstructures Limited,Other
ARIS,Arisinfra Solutions Limited,Other
ARKADE,Arkade Developers Limited,Other
ARMANFIN,Arman Financial Services Limited,Other
AROGRANITE,Aro Granite Industries Limited,Other
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Other
ARTEMISMED,Artemis Medicare Services Limited,Other
ARTNIRMAN,Art Nirman Limited,Other
ARVEE,Arvee Laboratories (India) Limited,Other
ARVIND,Arvind Limited,Other
ARVINDFASN,Arvind Fashions Limited,Other
ARVSMART,Arvind SmartSpaces Limited,Other
ASAL,Automotive Stampings and Assemblies Limited,Other
ASALCBR,Associated Alcohols & Breweries Ltd.,Other
ASHAPURMIN,Ashapura Minechem Limited,Other
ASHIANA,Ashiana Housing Limited,Other
ASHIKAG,Ashika Global Securities Limited,Other
ASHIMASYN,Ashima Limited,Other
ASHOKA,Ashoka Buildcon Limited,Other
ASHOKAMET,Ashoka Metcast Limited,Other
ASIANENE,Asian Energy Services Limited,Other
ASIANHOTNR,Asian Hotels (North) Limited,Other
ASIANTILES,Asian Granito India Limited,Other
ASKAUTOLTD,ASK Automotive Limited,Other
ASPINWALL,Aspinwall and Company Limited,Other
ASTAR,Asian Star Company Limited,Other
ASTEC,Astec LifeSciences Limited,Other
ASTRAMICRO,Astra Microwave Products Limited,Other
ASTRAZEN,AstraZeneca Pharma India Limited,Other
ATALREAL,Atal Realtech Limited,Other
ATAM,Atam Valves Limited,Other
ATL,Allcargo Terminals Limited,Other
ATLANTAA,ATLANTAA LIMITED,Other
ATLANTAELE,Atlanta Electricals Limited,Other
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Other
ATULAUTO,Atul Auto Limited,Other
AURIONPRO,Aurionpro Solutions Limited,Other
AURUM,Aurum PropTech Limited,Other
AURUS,AURUS GEM CORPORATION LIMITED,Other
AUTOAXLES,Automotive Axles Limited,Other
AVADHSUGAR,Avadh Sugar & Energy Limited,Other
AVALON,Avalon Technologies Limited,Other
AVANTEL,Avantel Limited,Other
AVANTIFEED,Avanti Feeds Limited,Other
AVL,Aditya Vision Limited,Other
AVONMORE,Avonmore Capital & Management Services Limited,Other
AVROIND,AVRO INDIA LIMITED,Other
AVTNPL,AVT Natural Products Limited,Other
AWFIS,Awfis Space Solutions Limited,Other
AWHCL,Antony Waste Handling Cell Limited,Other
AXISCADES,AXISCADES Technologies Limited,Other
AXITA,Axita Cotton Limited,Other
AYE,Aye Finance Limited,Other
AYMSYNTEX,AYM Syntex Limited,Other
AZAD,Azad Engineering Limited,Other
BAGFILMS,B.A.G Films and Media Limited,Other
BAIDFIN,Baid Finserv Limited,Other
BAJAJCON,Bajaj Consumer Care Limited,Other
BAJAJELEC,Bajaj Electricals Limited,Other
BAJAJHCARE,Bajaj Healthcare Limited,Other
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Other
BAJAJINDEF,Indef Manufacturing Limited,Other
BAJAJST,Bajaj Steel Industries Limited,Other
BAJEL,Bajel Projects Limited,Other
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Other
BALAJITELE,Balaji Telefilms Limited,Other
BALAMINES,Balaji Amines Limited,Other
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Other
BALKRISHNA,Balkrishna Paper Mills Limited,Other
BALMLAWRIE,Balmer Lawrie & Company Limited,Other
BALPHARMA,Bal Pharma Limited,Other
BALUFORGE,Balu Forge Industries Limited,Other
BANARBEADS,Banaras Beads Limited,Other
BANARISUG,Bannari Amman Sugars Limited,Other
BANCOINDIA,Banco Products (I) Limited,Other
BANG,Bang Overseas Limited,Other
BANSALWIRE,Bansal Wire Industries Limited,Other
BANSWRAS,Banswara Syntex Limited,Other
BASF,BASF India Limited,Other
BATLIBOI,Batliboi Limited,Other
BBL,Bharat Bijlee Limited,Other
BBOX,Black Box Limited,Other
BBTCL,B&B Triplewall Containers Limited,Other
BCG,Brightcom Group Limited,Other
BCLIND,Bcl Industries Limited,Other
BCONCEPTS,Brand Concepts Limited,Other
BCPL,BCPL Railway Infrastructure Limited,Other
BEARDSELL,Beardsell Limited,Other
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Other
BEDMUTHA,Bedmutha Industries Limited,Other
BEEKAY,Beekay Steel Industries Limited,Other
BELLACASA,Bella Casa Fashion & Retail Limited,Other
BENGALASM,Bengal & Assam Company Limited,Other
BEPL,Bhansali Engineering Polymers Limited,Other
BESTAGRO,Best Agrolife Limited,Other
BETA,Beta Drugs Limited,Other
BFINVEST,BF Investment Limited,Other
BFUTILITIE,BF Utilities Limited,Other
